id,valence_cue,valence_tar,BA_answer,BA_resp,excluded
2,emo,emo,nei,nei,FALSE
2,neu,emo,A,A,FALSE
2,emo,neu,B,B,FALSE
2,emo,neu,A,B,FALSE
2,neu,emo,A,A,FALSE
2,neu,neu,A,,FALSE
2,emo,emo,B,B,FALSE
2,emo,neu,A,B,FALSE
2,neu,neu,B,B,FALSE
2,emo,neu,A,A,FALSE
2,neu,emo,A,A,FALSE
2,neu,emo,A,B,FALSE
2,emo,emo,nei,A,FALSE
2,neu,neu,A,B,FALSE
2,emo,neu,B,B,FALSE
2,emo,neu,B,B,FALSE
2,emo,neu,A,B,FALSE
2,emo,neu,B,A,FALSE
2,neu,emo,B,A,FALSE
2,neu,emo,A,A,FALSE
2,emo,neu,A,A,FALSE
2,emo,emo,A,B,FALSE
2,neu,neu,nei,B,FALSE
2,neu,emo,A,nei,FALSE
2,neu,emo,B,B,FALSE
2,emo,neu,B,A,FALSE
2,neu,emo,B,B,FALSE
2,neu,emo,B,B,FALSE
2,neu,emo,B,A,FALSE
2,emo,neu,A,A,FALSE
2,emo,neu,B,,FALSE
2,emo,neu,A,B,FALSE
2,neu,emo,A,nei,FALSE
2,emo,neu,A,B,FALSE
2,emo,emo,nei,A,FALSE
2,neu,emo,A,A,FALSE
2,neu,emo,B,A,FALSE
2,neu,neu,B,A,FALSE
2,emo,emo,A,A,FALSE
2,emo,neu,B,B,FALSE
2,neu,emo,B,B,FALSE
2,emo,neu,B,B,FALSE
2,emo,neu,A,,FALSE
2,emo,emo,B,B,FALSE
2,neu,emo,B,B,FALSE
2,neu,neu,nei,nei,FALSE
2,neu,emo,B,B,FALSE
2,neu,emo,A,B,FALSE
2,neu,emo,B,nei,FALSE
2,neu,emo,A,,FALSE
2,emo,neu,A,nei,FALSE
2,emo,neu,A,A,FALSE
2,emo,neu,B,B,FALSE
2,neu,neu,A,B,FALSE
3,neu,emo,B,A,FALSE
3,neu,emo,B,A,FALSE
3,neu,neu,B,B,FALSE
3,emo,emo,B,nei,FALSE
3,emo,neu,B,B,FALSE
3,neu,emo,B,A,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,A,A,FALSE
3,neu,neu,nei,A,FALSE
3,emo,emo,A,A,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,A,B,FALSE
3,emo,emo,nei,nei,FALSE
3,emo,neu,B,nei,FALSE
3,neu,emo,A,,FALSE
3,emo,neu,B,B,FALSE
3,emo,neu,A,A,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,A,A,FALSE
3,emo,neu,B,A,FALSE
3,emo,neu,A,A,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,B,,FALSE
3,neu,neu,A,A,FALSE
3,neu,emo,B,B,FALSE
3,emo,emo,A,,FALSE
3,neu,neu,B,nei,FALSE
3,emo,emo,B,A,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,B,A,FALSE
3,emo,neu,B,A,FALSE
3,neu,emo,B,A,FALSE
3,emo,neu,B,nei,FALSE
3,emo,neu,A,nei,FALSE
3,neu,neu,nei,A,FALSE
3,emo,neu,B,B,FALSE
3,neu,emo,A,A,FALSE
3,neu,neu,A,A,FALSE
3,emo,neu,B,nei,FALSE
3,emo,emo,nei,nei,FALSE
3,neu,emo,A,B,FALSE
3,emo,neu,A,B,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,B,A,FALSE
3,emo,neu,A,,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,A,A,FALSE
3,neu,emo,B,A,FALSE
3,emo,neu,A,nei,FALSE
3,emo,emo,A,B,FALSE
3,neu,neu,B,nei,FALSE
3,emo,neu,A,nei,FALSE
3,neu,emo,B,nei,FALSE
3,neu,neu,nei,A,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,B,A,FALSE
3,neu,emo,A,B,FALSE
3,neu,emo,B,A,FALSE
3,emo,neu,B,A,FALSE
3,emo,neu,A,B,FALSE
3,emo,neu,B,A,FALSE
3,emo,neu,B,A,FALSE
3,neu,emo,B,nei,FALSE
3,emo,emo,B,B,FALSE
3,emo,neu,A,,FALSE
3,emo,emo,nei,B,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,B,,FALSE
3,emo,neu,A,B,FALSE
3,neu,emo,A,A,FALSE
3,neu,neu,A,nei,FALSE
3,emo,emo,B,,FALSE
3,emo,neu,A,B,FALSE
3,neu,neu,B,B,FALSE
3,emo,neu,A,A,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,A,nei,FALSE
3,emo,emo,nei,B,FALSE
3,neu,neu,A,B,FALSE
3,emo,neu,B,B,FALSE
3,emo,neu,B,nei,FALSE
3,emo,neu,A,B,FALSE
3,emo,neu,B,A,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,A,nei,FALSE
3,emo,emo,A,A,FALSE
3,neu,neu,nei,nei,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,B,,FALSE
3,emo,neu,B,A,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,B,,FALSE
3,emo,neu,A,A,FALSE
3,emo,neu,B,A,FALSE
3,emo,neu,A,A,FALSE
3,neu,emo,A,B,FALSE
3,emo,neu,A,A,FALSE
3,emo,emo,nei,A,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,B,,FALSE
3,neu,neu,B,B,FALSE
3,emo,emo,A,A,FALSE
3,emo,neu,B,A,FALSE
3,neu,emo,B,A,FALSE
3,emo,neu,B,B,FALSE
3,emo,neu,A,A,FALSE
3,emo,emo,B,A,FALSE
3,neu,emo,B,nei,FALSE
3,neu,neu,nei,B,FALSE
3,neu,emo,B,nei,FALSE
3,neu,emo,A,A,FALSE
3,neu,emo,B,B,FALSE
3,neu,emo,A,A,FALSE
3,emo,neu,A,A,FALSE
3,emo,neu,A,B,FALSE
3,emo,neu,B,nei,FALSE
3,neu,neu,A,B,FALSE
4,neu,emo,B,B,FALSE
4,neu,emo,A,A,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,B,nei,FALSE
4,emo,neu,B,A,FALSE
4,neu,emo,B,A,FALSE
4,neu,emo,A,A,FALSE
4,neu,emo,B,,FALSE
4,neu,neu,A,,FALSE
4,emo,neu,A,,FALSE
4,neu,neu,nei,A,FALSE
4,neu,emo,A,,FALSE
4,emo,neu,A,,FALSE
4,emo,neu,B,,FALSE
4,emo,neu,B,nei,FALSE
4,emo,emo,nei,A,FALSE
4,emo,neu,A,nei,FALSE
4,emo,emo,A,nei,FALSE
4,neu,emo,A,nei,FALSE
4,neu,emo,B,B,FALSE
4,emo,neu,B,A,FALSE
4,neu,neu,B,nei,FALSE
4,emo,emo,B,B,FALSE
4,emo,neu,A,A,FALSE
4,emo,emo,B,nei,FALSE
4,emo,neu,B,,FALSE
4,neu,neu,B,nei,FALSE
4,emo,neu,B,nei,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,A,A,FALSE
4,neu,emo,B,A,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,B,nei,FALSE
4,neu,emo,B,A,FALSE
4,neu,emo,B,nei,FALSE
4,neu,emo,B,nei,FALSE
4,neu,emo,A,A,FALSE
4,emo,neu,B,A,FALSE
4,neu,neu,nei,A,FALSE
4,emo,emo,nei,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,emo,A,B,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,A,nei,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,A,,FALSE
4,emo,neu,B,A,FALSE
4,neu,neu,A,nei,FALSE
4,neu,neu,B,A,FALSE
4,neu,emo,A,B,FALSE
4,emo,neu,A,nei,FALSE
4,emo,neu,B,,FALSE
4,neu,emo,A,A,FALSE
4,neu,emo,B,B,FALSE
4,emo,emo,B,B,FALSE
4,emo,neu,B,A,FALSE
4,neu,emo,B,A,FALSE
4,neu,emo,A,B,FALSE
4,emo,emo,nei,nei,FALSE
4,neu,neu,nei,nei,FALSE
4,neu,emo,B,nei,FALSE
4,emo,neu,B,nei,FALSE
4,neu,emo,B,A,FALSE
4,emo,neu,B,nei,FALSE
4,neu,emo,A,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,B,A,FALSE
4,neu,neu,A,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,emo,A,nei,FALSE
4,neu,emo,A,nei,FALSE
4,neu,emo,B,B,FALSE
4,emo,neu,B,nei,FALSE
4,neu,neu,B,,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,B,A,FALSE
4,emo,emo,nei,nei,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,A,,FALSE
4,neu,emo,B,nei,FALSE
4,neu,neu,nei,A,FALSE
4,neu,neu,A,A,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,B,nei,FALSE
4,neu,emo,B,A,FALSE
4,emo,emo,A,A,FALSE
4,emo,neu,B,A,FALSE
4,neu,emo,B,A,FALSE
4,emo,emo,B,A,FALSE
4,neu,emo,B,nei,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,A,nei,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,A,nei,FALSE
4,emo,neu,B,B,FALSE
